 -------------------------- ---------- -------- ------ ----------------------------------- 
  Name                       Method     Scheme   Host   Path                               
 -------------------------- ---------- -------- ------ ----------------------------------- 
  _preview_error             ANY        ANY      ANY    /_error/{code}.{_format}           
  _wdt                       ANY        ANY      ANY    /_wdt/{token}                      
  _profiler_home             ANY        ANY      ANY    /_profiler/                        
  _profiler_search           ANY        ANY      ANY    /_profiler/search                  
  _profiler_search_bar       ANY        ANY      ANY    /_profiler/search_bar              
  _profiler_phpinfo          ANY        ANY      ANY    /_profiler/phpinfo                 
  _profiler_xdebug           ANY        ANY      ANY    /_profiler/xdebug                  
  _profiler_font             ANY        ANY      ANY    /_profiler/font/{fontName}.woff2   
  _profiler_search_results   ANY        ANY      ANY    /_profiler/{token}/search/results  
  _profiler_open_file        ANY        ANY      ANY    /_profiler/open                    
  _profiler                  ANY        ANY      ANY    /_profiler/{token}                 
  _profiler_router           ANY        ANY      ANY    /_profiler/{token}/router          
  _profiler_exception        ANY        ANY      ANY    /_profiler/{token}/exception       
  _profiler_exception_css    ANY        ANY      ANY    /_profiler/{token}/exception.css   
  admin_comment_index        GET        ANY      ANY    /admin/forum/comment               
  admin_comment_show         GET        ANY      ANY    /admin/forum/comment/{id}          
  admin_comment_delete       POST       ANY      ANY    /admin/forum/comment/{id}/delete   
  admin_post_index           GET        ANY      ANY    /admin/forum/post                  
  admin_post_show            GET        ANY      ANY    /admin/forum/post/{id}             
  admin_post_edit            GET|POST   ANY      ANY    /admin/forum/post/{id}/edit        
  admin_post_delete          POST       ANY      ANY    /admin/forum/post/{id}/delete      
  admin_dashboard            ANY        ANY      ANY    /admin                             
  admin_forum                GET        ANY      ANY    /admin/forum                       
  forum_test_mail            GET        ANY      ANY    /forum/test-mail                   
  forum_index                GET        ANY      ANY    /forum                             
  forum_post_new             GET|POST   ANY      ANY    /forum/post/new                    
  forum_post_list            GET        ANY      ANY    /forum/post                        
  forum_post_show            GET|POST   ANY      ANY    /forum/post/{id}                   
  forum_post_edit            GET|POST   ANY      ANY    /forum/post/{id}/edit              
  forum_post_delete          POST       ANY      ANY    /forum/post/{id}/delete            
  forum_comment_edit         GET|POST   ANY      ANY    /forum/comment/{id}/edit           
  forum_comment_delete       POST       ANY      ANY    /forum/comment/{id}/delete         
  forum_post_avis            POST       ANY      ANY    /forum/post/{id}/avis              
  forum_post_dislike         POST       ANY      ANY    /forum/post/{id}/dislike           
  forum_comment_avis         POST       ANY      ANY    /forum/comment/{id}/avis           
  forum_comment_dislike      POST       ANY      ANY    /forum/comment/{id}/dislike        
  forum_chat                 POST       ANY      ANY    /forum/chat                        
  app_root                   GET        ANY      ANY    /                                  
  app_home                   GET        ANY      ANY    /home                              
  app_properties             ANY        ANY      ANY    /properties                        
 -------------------------- ---------- -------- ------ ----------------------------------- 

